date,new_cases,cumulative_cases,active,active_cumulative,recovered,recovered_cumulative,deaths,deaths_cumulative
2020-03-09,2,2,2,2,0,0,0,0
2020-03-10,8,10,7,9,0,0,1,1
2020-03-11,5,15,5,14,0,0,0,1
2020-03-12,8,23,8,22,0,0,0,1
2020-03-13,10,33,10,32,0,0,0,1
2020-03-14,5,38,5,37,0,0,0,1
2020-03-15,4,42,4,41,0,0,0,1
2020-03-16,9,51,9,50,0,0,0,1
2020-03-17,4,55,4,54,0,0,0,1
2020-03-18,4,59,2,56,1,1,1,2
2020-03-19,5,64,5,61,0,1,0,2
2020-03-20,6,70,4,65,2,3,0,2
2020-03-21,6,76,6,71,0,3,0,2
2020-03-22,13,98,21,92,0,3,1,3
2020-03-23,15,104,3,95,2,5,1,4
2020-03-24,19,123,13,108,5,10,1,5
2020-03-25,23,146,16,124,7,17,0,5
2020-03-26,28,174,27,151,0,17,1,6
2020-03-27,12,186,-4,147,14,31,2,8
2020-03-28,11,197,7,154,2,33,2,10
2020-03-29,15,212,8,162,7,40,0,10
2020-03-30,11,223,6,168,4,44,1,11
2020-03-31,20,243,10,178,8,52,2,13
2020-04-01,16,259,-1,177,15,67,2,15
2020-04-02,18,277,8,185,9,76,1,16
2020-04-03,27,304,13,198,13,89,1,17
2020-04-04,29,333,18,216,10,99,1,18
2020-04-05,28,361,21,237,5,104,2,20
2020-04-06,16,377,3,240,12,116,1,21
2020-07-04,6,383,-10,230,15,131,1,22
2020-04-08,17,400,-6,224,23,154,0,22
2020-04-09,9,409,-2,222,11,165,0,22
2020-04-10,7,416,-11,211,17,182,1,23
2020-04-11,17,433,2,213,15,197,0,23
2020-04-12,13,446,-7,206,20,217,0,23
2020-04-13,21,467,6,212,15,232,0,23
2020-04-14,8,475,-9,203,16,248,1,24
2020-04-15,19,494,15,218,3,251,1,25
2020-04-16,24,518,-3,215,26,277,1,26
2020-04-17,21,539,15,230,6,283,0,26
2020-04-18,9,548,-10,220,19,302,0,26
2020-04-19,14,562,2,222,12,314,0,26
2020-04-20,22,584,9,231,13,327,0,26
2020-04-21,25,609,7,238,18,345,0,26
2020-04-22,25,634,13,251,11,356,1,27
2020-04-23,29,663,0,251,29,385,0,27
2020-04-24,15,678,6,257,9,394,0,27
2020-04-25,34,712,25,282,9,403,0,27
2020-04-26,14,726,6,288,7,410,1,28
2020-04-27,10,736,-2,286,12,422,0,28
2020-04-28,14,750,3,289,9,431,2,30
2020-04-29,16,766,-8,281,24,455,0,30
2020-04-30,7,773,-9,272,15,470,1,31
2020-05-01,9,782,-9,263,18,488,0,31
2020-05-02,7,789,-24,239,31,519,0,31
2020-05-03,6,795,-6,233,12,531,0,31
2020-05-04,8,803,-4,229,12,543,0,31
2020-05-05,17,820,-10,219,27,570,0,31
2020-05-06,12,832,-13,206,25,595,0,31
2020-05-07,10,842,0,206,10,605,0,31
2020-05-08,8,850,-7,199,15,620,0,31
2020-05-09,6,856,-1,198,7,627,0,31
2020-05-10,12,868,-11,187,23,650,0,31
2020-05-11,4,872,0,187,4,654,0,31
2020-05-12,4,876,-24,163,28,682,0,31
2020-05-13,4,880,-2,161,6,688,0,31
2020-05-14,18,898,12,173,6,694,0,31
2020-05-15,18,916,7,180,11,705,0,31
2020-05-16,17,933,8,188,9,714,0,31
2020-05-17,13,946,12,200,1,715,0,31
2020-05-18,2,948,-10,190,12,727,0,31
2020-05-19,1,949,-14,176,15,742,0,31
2020-05-20,15,964,-1,175,16,758,0,31
2020-05-21,5,969,-8,167,13,771,0,31
2020-05-22,12,981,6,173,6,777,0,31
2020-05-23,8,989,2,175,6,783,0,31
2020-05-24,9,998,2,177,6,789,1,32
2020-05-25,6,1004,0,177,6,795,0,32
2020-05-26,25,1029,16,193,8,803,1,33
2020-05-27,21,1050,12,205,9,812,0,33
2020-05-28,26,1076,15,220,11,823,0,33
2020-05-29,23,1099,-5,215,28,851,0,33
2020-05-30,23,1122,17,232,6,857,0,33
2020-05-31,15,1137,0,232,15,872,0,33
2020-06-01,6,1143,1,233,5,877,0,33
2020-06-02,21,1164,7,240,14,891,0,33
2020-06-03,20,1184,13,253,7,898,0,33